"SOURCE_SYSTEM","SOURCE_CONN","TABSCHEMA","TABNAME","COLNO","COLNAME","TYPENAME","LENGTH","SCALE","REMARKS","TAB_CATALOG","TAB_REMARKS","LIMITIERUNG"
"21C",SBK21C,USR01537,PP_MEVERSAND,3,VERSIONNR,SMALLINT,2,0,for optimistic locking; attribute VersionNr in class framework.business.Model,,class partner.business.medienempfaenger.MediumVersandModel,
"21C",SBK21C,USR01537,PP_MEVERSAND,4,MEDIENTYP,SMALLINT,2,0,attribute MedienTyp in class partner.business.medienempfaenger.MediumVersandModel; codetype kerntabellen.business.MedienartType,,class partner.business.medienempfaenger.MediumVersandModel,
"21C",SBK21C,USR01537,PP_MEVERSAND,5,STATUS,SMALLINT,2,0,attribute Status in class partner.business.medienempfaenger.MediumVersandModel; codetype kerntabellen.business.MedienStatusType,,class partner.business.medienempfaenger.MediumVersandModel,
"21C",SBK21C,USR01537,PP_MEVERSAND,6,ANZAHL,INTEGER,4,0,attribute Anzahl in class partner.business.medienempfaenger.MediumVersandModel,,class partner.business.medienempfaenger.MediumVersandModel,
"21C",SBK21C,USR01537,PP_MEVERSAND,7,SYSTEM,SMALLINT,2,0,attribute System in class partner.business.medienempfaenger.MediumVersandModel,,class partner.business.medienempfaenger.MediumVersandModel,
"21C",SBK21C,USR01537,PP_MEVERSAND,9,ERZEUGTAM,DATE,4,0,attribute ErzeugtAm in class partner.business.medienempfaenger.MediumVersandModel,,class partner.business.medienempfaenger.MediumVersandModel,
"21C",SBK21C,USR01537,PP_MEVERSAND,10,EMPFAENGER_ZEITSCHRIFTE_ID,BIGINT,8,0,foreign key; references table PP_ZeitschriftenEmpfaenger (class partner.business.ZeitschriftenEmpfaengerModel),,class partner.business.medienempfaenger.MediumVersandModel,
"21C",SBK21C,USR01537,PP_MEVERSAND,11,KATEGORIE,VARCHAR,255,0,attribute Kategorie in class partner.business.medienempfaenger.MediumVersandModel,,class partner.business.medienempfaenger.MediumVersandModel,
"21C",SBK21C,USR01537,PP_MEVERSAND,12,MEDIENKANAL,SMALLINT,2,0,attribute Medienkanal in class partner.business.medienempfaenger.MediumVersandModel; codetype kerntabellen.business.MedienkanalType,,class partner.business.medienempfaenger.MediumVersandModel,
"21C",SBK21C,USR01537,PP_PARTNERDCVAL,0,OID,BIGINT,8,0,primary key; attribute Oid in class framework.business.Model,,class partner.business.PartnerDCValModel,
"21C",SBK21C,USR01537,PP_PARTNERDCVAL,1,CREATEDBY,VARCHAR,16,0,attribute CreatedBy in class framework.business.Model,,class partner.business.PartnerDCValModel,
"21C",SBK21C,USR01537,PP_PARTNERDCVAL,2,CREATEDAT,TIMESTAMP,10,6,attribute CreatedAt in class framework.business.Model,,class partner.business.PartnerDCValModel,
"21C",SBK21C,USR01537,PP_PARTNERDCVAL,3,VERSIONNR,SMALLINT,2,0,for optimistic locking; attribute VersionNr in class framework.business.Model,,class partner.business.PartnerDCValModel,
"21C",SBK21C,USR01537,PP_PARTNERDCVAL,4,VAL,VARCHAR,2048,0,attribute Val in class partner.business.DynamicContainerValueModel,,class partner.business.PartnerDCValModel,
"21C",SBK21C,USR01537,PP_PARTNERDCVAL,5,USERVAL_USER_ID,BIGINT,8,0,foreign key; Cross Component Association (CCA): references table FE_User (class framework.business.workflow.UserModel),,class partner.business.PartnerDCValModel,
"21C",SBK21C,USR01537,PP_PARTNERDCVAL,6,ORGEINHEITVAL_ORGEINHEIT_ID,BIGINT,8,0,foreign key; Cross Component Association (CCA): references table PO_OrgEinheit (class organisationsstruktur.business.OrgEinheitModel),,class partner.business.PartnerDCValModel,
"21C",SBK21C,USR01537,PP_PARTNERDCVAL,7,KEY_DCKEY_ID,BIGINT,8,0,foreign key; references table PP_DCKey (class partner.business.DynamicContainerKeyModel),,class partner.business.PartnerDCValModel,
"21C",SBK21C,USR01537,PP_PARTNERDCVAL,8,PARTNERVAL_PARTNER_ID,BIGINT,8,0,foreign key; references table PP_Partner (class partner.business.PartnerModel),,class partner.business.PartnerDCValModel,
"21C",SBK21C,USR01537,PP_PARTNERDCVAL,9,TABPAGEVAL_DCTABPAGE_ID,BIGINT,8,0,foreign key; references table PP_DCTabPage (class partner.business.zusatzregister.DynamicContainerTabPageValModel),,class partner.business.PartnerDCValModel,
"21C",SBK21C,USR01537,PP_ZEITSCHRIFTENEMPFAENGER,0,OID,BIGINT,8,0,primary key; attribute Oid in class framework.business.Model,,class partner.business.ZeitschriftenEmpfaengerModel,
"21C",SBK21C,USR01537,PP_ZEITSCHRIFTENEMPFAENGER,1,CREATEDBY,VARCHAR,16,0,attribute CreatedBy in class framework.business.Model,,class partner.business.ZeitschriftenEmpfaengerModel,
"21C",SBK21C,USR01537,PP_ZEITSCHRIFTENEMPFAENGER,2,CREATEDAT,TIMESTAMP,10,6,attribute CreatedAt in class framework.business.Model,,class partner.business.ZeitschriftenEmpfaengerModel,
"21C",SBK21C,USR01537,PP_ZEITSCHRIFTENEMPFAENGER,3,VERSIONNR,SMALLINT,2,0,for optimistic locking; attribute VersionNr in class framework.business.Model,,class partner.business.ZeitschriftenEmpfaengerModel,
"21C",SBK21C,USR01537,PP_ZEITSCHRIFTENEMPFAENGER,4,VALIDFROM,DATE,4,0,attribute ValidFrom in class framework.business.TemporalModel,,class partner.business.ZeitschriftenEmpfaengerModel,
"21C",SBK21C,USR01537,PP_ZEITSCHRIFTENEMPFAENGER,5,VALIDTO,DATE,4,0,attribute ValidTo in class framework.business.TemporalModel,,class partner.business.ZeitschriftenEmpfaengerModel,
"21C",SBK21C,USR01537,PP_ZEITSCHRIFTENEMPFAENGER,6,KEINMEDIUM,SMALLINT,2,0,attribute KeinMedium in class partner.business.ZeitschriftenEmpfaengerModel,,class partner.business.ZeitschriftenEmpfaengerModel,
"21C",SBK21C,USR01537,PP_ZEITSCHRIFTENEMPFAENGER,7,EMPF_PARTNER_ID,BIGINT,8,0,foreign key; references table PP_Partner (class partner.business.PartnerModel),,class partner.business.ZeitschriftenEmpfaengerModel,
"21C",SBK21C,USR01537,LE_DIAGNOSE,57,VERLNGKVFAB_ANTRAGKV_ID,BIGINT,8,0,foreign key; references table LE_AntragKv (class leistungen.business.khpv.kv.AntragKvModel),,class leistungen.business.DiagnoseModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_DIAGNOSE,58,VERLAENGPV_ANTRAGPV_ID,BIGINT,8,0,foreign key; references table LE_AntragPv (class leistungen.business.khpv.pv.AntragPvModel),,class leistungen.business.DiagnoseModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_DIAGNOSE,59,RECHNUNGKV_RECHNUNGKV_ID,BIGINT,8,0,foreign key; references table LE_RechnungKv (class leistungen.business.khpv.kv.RechnungKvModel),,class leistungen.business.DiagnoseModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_DIAGNOSE,60,RECHSONST_RECHNUNGSONS_ID,BIGINT,8,0,foreign key; references table LE_RechnungSonstige (class leistungen.business.sonstige.sonstigeleistung.RechnungSonstigeModel),,class leistungen.business.DiagnoseModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_DIAGNOSE,61,RECHNUNGKFO_RECHNUNGKFO_ID,BIGINT,8,0,foreign key; references table LE_RechnungKFO (class leistungen.business.sonstige.kfo.RechnungKFOModel),,class leistungen.business.DiagnoseModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,PP_POSTADRESSE,0,OID,BIGINT,8,0,primary key; attribute Oid in class framework.business.Model,,class partner.business.PostAdresseModel,
"21C",SBK21C,USR01537,PP_POSTADRESSE,1,CREATEDBY,VARCHAR,16,0,attribute CreatedBy in class framework.business.Model,,class partner.business.PostAdresseModel,
"21C",SBK21C,USR01537,PP_POSTADRESSE,2,CREATEDAT,TIMESTAMP,10,6,attribute CreatedAt in class framework.business.Model,,class partner.business.PostAdresseModel,
"21C",SBK21C,USR01537,PP_POSTADRESSE,3,VERSIONNR,SMALLINT,2,0,for optimistic locking; attribute VersionNr in class framework.business.Model,,class partner.business.PostAdresseModel,
"21C",SBK21C,USR01537,PP_POSTADRESSE,4,VALIDFROM,DATE,4,0,attribute ValidFrom in class framework.business.TemporalModel,,class partner.business.PostAdresseModel,
"21C",SBK21C,USR01537,PP_POSTADRESSE,5,VALIDTO,DATE,4,0,attribute ValidTo in class framework.business.TemporalModel,,class partner.business.PostAdresseModel,
"21C",SBK21C,USR01537,PP_POSTADRESSE,6,ADRESSEINPRUEFUNG,SMALLINT,2,0,attribute AdresseInPruefung in class partner.business.PostAdresseModel,,class partner.business.PostAdresseModel,
"21C",SBK21C,USR01537,PP_POSTADRESSE,7,AENDERBAR,SMALLINT,2,0,attribute Aenderbar in class partner.business.PostAdresseModel,,class partner.business.PostAdresseModel,
"21C",SBK21C,USR01537,PP_POSTADRESSE,8,TYP,SMALLINT,2,0,attribute TypIntern in class partner.business.PostAdresseModel; codetype kerntabellen.business.PostAdressArtType,,class partner.business.PostAdresseModel,
"21C",SBK21C,USR01537,PP_POSTADRESSE,9,STRASSE,VARCHAR,75,0,attribute StrasseIntern in class partner.business.PostAdresseModel,,class partner.business.PostAdresseModel,
"21C",SBK21C,USR01537,PP_POSTADRESSE,10,STRASSE_PH,VARCHAR,75,0,additional column for phonetic searchable attribute StrasseIntern in class partner.business.PostAdresseModel,,class partner.business.PostAdresseModel,
"21C",SBK21C,USR01537,PP_POSTADRESSE,11,STRASSE_CI,VARCHAR,80,0,additional column for case insensitive searchable attribute StrasseIntern in class partner.business.PostAdresseModel,,class partner.business.PostAdresseModel,
"21C",SBK21C,USR01537,PP_POSTADRESSE,12,HAUSNUMMER,VARCHAR,15,0,attribute HausnummerIntern in class partner.business.PostAdresseModel,,class partner.business.PostAdresseModel,
"21C",SBK21C,USR01537,PP_POSTADRESSE,13,HAUSNUMMER_CI,VARCHAR,20,0,additional column for case insensitive searchable attribute HausnummerIntern in class partner.business.PostAdresseModel,,class partner.business.PostAdresseModel,
"21C",SBK21C,USR01537,PP_POSTADRESSE,14,POSTLEITZAHL,VARCHAR,10,0,attribute PostleitzahlIntern in class partner.business.PostAdresseModel,,class partner.business.PostAdresseModel,
"21C",SBK21C,USR01537,PP_POSTADRESSE,15,ORT,VARCHAR,60,0,attribute OrtIntern in class partner.business.PostAdresseModel,,class partner.business.PostAdresseModel,
"21C",SBK21C,USR01537,PP_POSTADRESSE,16,ORT_CI,VARCHAR,65,0,additional column for case insensitive searchable attribute OrtIntern in class partner.business.PostAdresseModel,,class partner.business.PostAdresseModel,
"21C",SBK21C,USR01537,PP_POSTADRESSE,17,POSTFACH,VARCHAR,8,0,attribute Postfach in class partner.business.PostAdresseModel,,class partner.business.PostAdresseModel,
"21C",SBK21C,USR01537,PP_POSTADRESSE,18,POSTFACH_CI,VARCHAR,13,0,additional column for case insensitive searchable attribute Postfach in class partner.business.PostAdresseModel,,class partner.business.PostAdresseModel,
"21C",SBK21C,USR01537,PP_POSTADRESSE,19,ADRESSZUSATZ,VARCHAR,40,0,attribute AdresszusatzIntern in class partner.business.PostAdresseModel,,class partner.business.PostAdresseModel,
"21C",SBK21C,USR01537,PP_POSTADRESSE,20,BUNDESLAND,SMALLINT,2,0,attribute BundeslandIntern in class partner.business.PostAdresseModel; codetype kerntabellen.business.BundeslandType,,class partner.business.PostAdresseModel,
"21C",SBK21C,USR01537,PP_POSTADRESSE,21,LAND,SMALLINT,2,0,attribute LandIntern in class partner.business.PostAdresseModel; codetype framework.base.CountryType,,class partner.business.PostAdresseModel,
"21C",SBK21C,USR01537,PP_POSTADRESSE,22,BEMERKUNG,VARCHAR,100,0,attribute Bemerkung in class partner.business.PostAdresseModel,,class partner.business.PostAdresseModel,
"21C",SBK21C,USR01537,PP_POSTADRESSE,23,AENDERUNGMELDEADR,SMALLINT,2,0,attribute AenderungMeldeadresseIntern in class partner.business.PostAdresseModel,,class partner.business.PostAdresseModel,
"21C",SBK21C,USR01537,PP_POSTADRESSE,24,AENDERUNGTYP,SMALLINT,2,0,attribute AenderungAdressTypIntern in class partner.business.PostAdresseModel,,class partner.business.PostAdresseModel,
"21C",SBK21C,USR01537,PP_POSTADRESSE,27,IK_INSTKENNZ_ID,BIGINT,8,0,foreign key; references table PP_InstKennzeichen (class partner.business.InstitutionskennzeichenModel),,class partner.business.PostAdresseModel,
"21C",SBK21C,USR01537,PP_POSTADRESSE,28,ERGEBNIS,SMALLINT,2,0,attribute Ergebnis in class partner.business.PostAdresseModel; codetype kerntabellen.business.ErgebnisPostadresseType,,class partner.business.PostAdresseModel,
"21C",SBK21C,USR01537,PP_POSTADRESSE,29,GEKLAERTAM,DATE,4,0,attribute GeklaertAm in class partner.business.PostAdresseModel,,class partner.business.PostAdresseModel,
"21C",SBK21C,USR01537,PP_POSTADRESSE,30,INKLAERUNGSEIT,DATE,4,0,attribute InKlaerungSeit in class partner.business.PostAdresseModel,,class partner.business.PostAdresseModel,
"21C",SBK21C,USR01537,PP_POSTADRESSE,31,STATUS,SMALLINT,2,0,attribute Status in class partner.business.PostAdresseModel; codetype kerntabellen.business.StatusPostadresseType,,class partner.business.PostAdresseModel,
"21C",SBK21C,USR01537,PP_POSTADRESSE,25,VIPKENNZEICHEN,SMALLINT,2,0,attribute VipKennzeichen in class partner.business.PostAdresseModel; codetype framework.base.SpezialType,,class partner.business.PostAdresseModel,
"21C",SBK21C,USR01537,PP_POSTADRESSE,26,ZU_PARTNER_ID,BIGINT,8,0,foreign key; references table PP_Partner (class partner.business.PartnerModel),,class partner.business.PostAdresseModel,
"21C",SBK21C,USR01537,LE_DIAGNOSE,62,RECHNUNGZE_RECHZAHNERSA_ID,BIGINT,8,0,foreign key; references table LE_RechnungZahnersatz (class leistungen.business.sonstige.zahnersatz.RechnungZahnersatzModel),,class leistungen.business.DiagnoseModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_DIAGNOSE,63,ERSTATTUNG_ERSTATTSONST_ID,BIGINT,8,0,foreign key; references table LE_ErstattungSonstige (class leistungen.business.sonstige.sonstigeleistung.ErstattungSonstigeModel),,class leistungen.business.DiagnoseModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,FE_ORGANISATIONUNIT,0,OID,BIGINT,8,0,primary key; attribute Oid in class framework.business.Model,,class framework.business.workflow.OrganisationUnitModel,
"21C",SBK21C,USR01537,FE_ORGANISATIONUNIT,1,CREATEDBY,VARCHAR,16,0,attribute CreatedBy in class framework.business.Model,,class framework.business.workflow.OrganisationUnitModel,
"21C",SBK21C,USR01537,FE_ORGANISATIONUNIT,2,CREATEDAT,TIMESTAMP,10,6,attribute CreatedAt in class framework.business.Model,,class framework.business.workflow.OrganisationUnitModel,
"21C",SBK21C,USR01537,FE_ORGANISATIONUNIT,3,VERSIONNR,SMALLINT,2,0,for optimistic locking; attribute VersionNr in class framework.business.Model,,class framework.business.workflow.OrganisationUnitModel,
"21C",SBK21C,USR01537,FE_ORGANISATIONUNIT,4,ORGID,VARCHAR,30,0,attribute Id in class framework.business.workflow.OrganisationUnitModel,,class framework.business.workflow.OrganisationUnitModel,
"21C",SBK21C,USR01537,FE_ORGANISATIONUNIT,5,ORGID_CI,VARCHAR,35,0,additional column for case insensitive searchable attribute Id in class framework.business.workflow.OrganisationUnitModel,,class framework.business.workflow.OrganisationUnitModel,
"21C",SBK21C,USR01537,FE_ORGANISATIONUNIT,6,NAME,VARCHAR,96,0,attribute Name in class framework.business.workflow.OrganisationUnitModel,,class framework.business.workflow.OrganisationUnitModel,
"21C",SBK21C,USR01537,FE_ORGANISATIONUNIT,7,NAME_CI,VARCHAR,101,0,additional column for case insensitive searchable attribute Name in class framework.business.workflow.OrganisationUnitModel,,class framework.business.workflow.OrganisationUnitModel,
"21C",SBK21C,USR01537,FE_ORGANISATIONUNIT,8,TOBEDELETED,SMALLINT,2,0,attribute ToBeDeleted in class framework.business.workflow.OrganisationUnitModel,,class framework.business.workflow.OrganisationUnitModel,
"21C",SBK21C,USR01537,FE_ORGANISATIONUNIT,9,CLASSIFICATION,SMALLINT,2,0,attribute Classification in class framework.business.workflow.OrganisationUnitModel; codetype framework.base.ArtDerOrgaConfigViewType,,class framework.business.workflow.OrganisationUnitModel,
"21C",SBK21C,USR01537,FE_ORGANISATIONUNIT,10,VALIDITYFROM,DATE,4,0,attribute ValidityFrom in class framework.business.workflow.OrganisationUnitModel,,class framework.business.workflow.OrganisationUnitModel,
"21C",SBK21C,USR01537,FE_ORGANISATIONUNIT,11,VALIDITYTO,DATE,4,0,attribute ValidityTo in class framework.business.workflow.OrganisationUnitModel,,class framework.business.workflow.OrganisationUnitModel,
"21C",SBK21C,USR01537,FE_ORGANISATIONUNIT,12,IDENTICALCHOOSEABILITY,SMALLINT,2,0,attribute IdenticalChooseability in class framework.business.workflow.OrganisationUnitModel,,class framework.business.workflow.OrganisationUnitModel,
"21C",SBK21C,USR01537,FE_ORGANISATIONUNIT,13,PARENTUNIT_ORGUNIT_ID,BIGINT,8,0,foreign key; references table FE_OrganisationUnit (class framework.business.workflow.OrganisationUnitModel),,class framework.business.workflow.OrganisationUnitModel,
"21C",SBK21C,USR01537,FE_ORGANISATIONUNIT,14,ISPERMITTEDFORACTIVITIES,SMALLINT,2,0,attribute IsPermittedForActivities in class framework.business.workflow.OrganisationUnitModel,,class framework.business.workflow.OrganisationUnitModel,
"21C",SBK21C,USR01537,LE_DIAGNOSE,0,OID,BIGINT,8,0,primary key; attribute Oid in class framework.business.Model,,class leistungen.business.DiagnoseModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_DIAGNOSE,1,CREATEDBY,VARCHAR,16,0,attribute CreatedBy in class framework.business.Model,,class leistungen.business.DiagnoseModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_DIAGNOSE,2,CREATEDAT,TIMESTAMP,10,6,attribute CreatedAt in class framework.business.Model,,class leistungen.business.DiagnoseModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_DIAGNOSE,3,VERSIONNR,SMALLINT,2,0,for optimistic locking; attribute VersionNr in class framework.business.Model,,class leistungen.business.DiagnoseModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_DIAGNOSE,4,LAUFENDENUMMER,SMALLINT,2,0,attribute LaufendeNummer in class leistungen.business.DiagnoseModel,,class leistungen.business.DiagnoseModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_DIAGNOSE,5,VERSION,SMALLINT,2,0,attribute Version in class leistungen.business.DiagnoseModel; codetype kerntabellen.business.DiagnoseIcdVersionType,,class leistungen.business.DiagnoseModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_DIAGNOSE,6,DIAGNOSEZUSATZ,SMALLINT,2,0,attribute Diagnosezusatz in class leistungen.business.DiagnoseModel; codetype kerntabellen.business.DiagnoseZusatzType,,class leistungen.business.DiagnoseModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_DIAGNOSE,7,AUBEGRUENDEND,SMALLINT,2,0,attribute AUBegruendend in class leistungen.business.DiagnoseModel,,class leistungen.business.DiagnoseModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_DIAGNOSE,8,GUELTIGVON,DATE,4,0,attribute GueltigVon in class leistungen.business.DiagnoseModel,,class leistungen.business.DiagnoseModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_DIAGNOSE,9,GUELTIGBIS,DATE,4,0,attribute GueltigBis in class leistungen.business.DiagnoseModel,,class leistungen.business.DiagnoseModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_DIAGNOSE,10,VON,DATE,4,0,attribute Von in class leistungen.business.DiagnoseModel,,class leistungen.business.DiagnoseModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_DIAGNOSE,11,BIS,DATE,4,0,attribute Bis in class leistungen.business.DiagnoseModel,,class leistungen.business.DiagnoseModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_DIAGNOSE,12,AUBEGRUENDENDAB,DATE,4,0,attribute AUBegruendendAb in class leistungen.business.DiagnoseModel,,class leistungen.business.DiagnoseModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_DIAGNOSE,17,ICDSCHLUESSEL,VARCHAR,9,0,attribute ICDSchluessel in class leistungen.business.DiagnoseModel,,class leistungen.business.DiagnoseModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_DIAGNOSE,18,ISTSEKUNDAERDIAGNOSE,SMALLINT,2,0,attribute IstSekundaerDiagnose in class leistungen.business.DiagnoseModel,,class leistungen.business.DiagnoseModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_DIAGNOSE,19,KRANKHEITSURSACHE,SMALLINT,2,0,attribute Krankheitsursache in class leistungen.business.DiagnoseModel; codetype kerntabellen.business.KrankheitursacheType,,class leistungen.business.DiagnoseModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_DIAGNOSE,20,LOKALISATION,SMALLINT,2,0,attribute Lokalisation in class leistungen.business.DiagnoseModel; codetype kerntabellen.business.DiagnoseLokalisationType,,class leistungen.business.DiagnoseModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_DIAGNOSE,21,IDENTBESCHEINIGENDERLE,VARCHAR,9,0,attribute IdentBescheinigenderLE in class leistungen.business.DiagnoseModel,,class leistungen.business.DiagnoseModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_DIAGNOSE,22,IDENTBESCHEINIGENDERARZT,VARCHAR,9,0,attribute IdentBescheinigenderArzt in class leistungen.business.DiagnoseModel,,class leistungen.business.DiagnoseModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_DIAGNOSE,23,AUBESONDERHEIT,SMALLINT,2,0,attribute AUBesonderheit in class leistungen.business.DiagnoseModel; codetype kerntabellen.business.AUBesonderheitType,,class leistungen.business.DiagnoseModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_DIAGNOSE,24,ABRECHNUNGSWEG,SMALLINT,2,0,attribute Abrechnungsweg in class leistungen.business.DiagnoseModel; codetype kerntabellen.business.LeiAbrechnungswegType,,class leistungen.business.DiagnoseModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_DIAGNOSE,25,ZUSATZINFO,VARCHAR,9,0,attribute Zusatzinfo in class leistungen.business.DiagnoseModel,,class leistungen.business.DiagnoseModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_DIAGNOSE,26,STORNIERENDERSACHBEARB,VARCHAR,30,0,attribute StornierenderSachbearbeiter in class leistungen.business.DiagnoseModel,,class leistungen.business.DiagnoseModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_DIAGNOSE,27,STORNIERT,SMALLINT,2,0,attribute Storniert in class leistungen.business.DiagnoseModel,,class leistungen.business.DiagnoseModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_DIAGNOSE,28,STORNIERTAM,TIMESTAMP,10,6,attribute StorniertAm in class leistungen.business.DiagnoseModel,,class leistungen.business.DiagnoseModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_DIAGNOSE,29,BEHANDLUNGSERGEBNIS,SMALLINT,2,0,attribute Behandlungsergebnis in class leistungen.business.DiagnoseModel; codetype kerntabellen.business.RehaArtBehandlungErgebnisType,,class leistungen.business.DiagnoseModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_DIAGNOSE,30,TEAMMITGLIEDSIDENTTP4A,VARCHAR,9,0,attribute TeammitgliedsidentifikationTP4a in class leistungen.business.DiagnoseModel,,class leistungen.business.DiagnoseModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_DIAGNOSE,31,DOKUMENTATION,VARCHAR,70,0,attribute Dokumentation in class leistungen.business.DiagnoseModel,,class leistungen.business.DiagnoseModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_DIAGNOSE,32,GUELTIG,SMALLINT,2,0,attribute Gueltig in class leistungen.business.DiagnoseModel,,class leistungen.business.DiagnoseModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_DIAGNOSE,33,KRNKSCHRBNDR_LEINST_ID,BIGINT,8,0,foreign key; Cross Component Association (CCA): references table LR_LeInstitution (class leistungserbringer.business.stammdaten.LeInstitutionModel),,class leistungen.business.DiagnoseModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_DIAGNOSE,34,BESCHNGNDRAP_ANSPRPARTNER_ID,BIGINT,8,0,foreign key; Cross Component Association (CCA): references table LR_Ansprechpartner (class leistungserbringer.business.stammdaten.AnsprechpartnerModel),,class leistungen.business.DiagnoseModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_DIAGNOSE,35,AUDATEN_AUDATEN_ID,BIGINT,8,0,foreign key; references table LE_AUDaten (class leistungen.business.eel.krankengeld.AUDatenModel),,class leistungen.business.DiagnoseModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_DIAGNOSE,36,ENTLDAU_AUFENTHALT_ID,BIGINT,8,0,foreign key; references table LE_Aufenthalt (class leistungen.business.khpv.AufenthaltModel),,class leistungen.business.DiagnoseModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_DIAGNOSE,13,DIAGNOSEART,SMALLINT,2,0,attribute DiagnoseArt in class leistungen.business.DiagnoseModel; codetype kerntabellen.business.DiagnoseArtType,,class leistungen.business.DiagnoseModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_DIAGNOSE,14,DIAGNOSEMODELTEXT,VARCHAR,300,0,attribute DiagnoseModelText in class leistungen.business.DiagnoseModel,,class leistungen.business.DiagnoseModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_DIAGNOSE,15,FACHABTEILUNGCODE,VARCHAR,4,0,attribute FachabteilungCode in class leistungen.business.DiagnoseModel,,class leistungen.business.DiagnoseModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_DIAGNOSE,16,HAUPTDIAGNOSEKG,SMALLINT,2,0,attribute HauptdiagnoseKG in class leistungen.business.DiagnoseModel,,class leistungen.business.DiagnoseModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_DIAGNOSE,37,AUFNAHME_AUFENTHALT_ID,BIGINT,8,0,foreign key; references table LE_Aufenthalt (class leistungen.business.khpv.AufenthaltModel),,class leistungen.business.DiagnoseModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_DIAGNOSE,38,PFLGBDRFTGKT_PFLGBDRFTGKT_ID,BIGINT,8,0,foreign key; references table LE_Pflegebeduerftigkeit (class leistungen.business.khpv.pv.pflegebeduerftigkeit.PflegebeduerftigkeitModel),,class leistungen.business.DiagnoseModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_DIAGNOSE,39,AUSDGSTAMMND_DIAGNOSE_ID,BIGINT,8,0,foreign key; references table LE_Diagnose (class leistungen.business.DiagnoseModel),,class leistungen.business.DiagnoseModel,WHERE CREATEDAT >=''2019-06-01''
